,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
448,675,France,Female,38,6,68065.8,1,0,0,138777.0,1
1993,824,Germany,Male,60,8,134250.17,3,0,0,153046.16,1
7487,651,France,Female,56,4,0.0,1,0,0,84383.22,1
3127,776,Germany,Male,33,8,115130.34,1,0,0,129525.5,1
7374,682,Germany,Female,38,1,116520.28,1,1,1,49833.5,1
4997,722,Spain,Male,43,1,0.0,1,1,0,44560.17,1
2154,606,Germany,Male,65,10,126306.64,3,0,0,7861.68,1
8305,746,France,Male,58,3,0.0,3,1,1,80344.96,1
8837,664,France,Male,46,2,0.0,1,1,1,177423.02,1
8755,707,Spain,Female,52,7,0.0,1,1,0,109688.82,1
3838,628,Germany,Male,50,4,122227.71,1,0,1,14217.77,1
7735,543,Germany,Male,41,6,143350.41,1,1,1,192070.16,1
6284,596,France,Male,33,8,0.0,1,1,0,121189.3,1
2987,676,Germany,Female,26,1,108348.66,1,0,0,60231.74,1
7900,785,Spain,Female,54,1,0.0,2,1,0,45113.92,1
458,514,Germany,Male,43,1,95556.31,1,0,1,199273.98,1
528,572,Germany,Female,48,3,152827.99,1,1,0,38411.79,1
6948,750,Spain,Female,33,3,161801.47,1,0,1,153288.97,1
58,511,Spain,Female,66,4,0.0,1,1,0,1643.11,1
2080,721,France,Female,55,3,44020.89,1,1,0,65864.4,1
535,608,France,Male,59,1,0.0,1,1,0,70649.64,1
3951,807,France,Female,47,9,167664.83,1,0,0,125440.11,1
6085,482,Germany,Male,45,7,156353.46,1,1,0,72643.95,1
7687,754,France,Male,61,5,146622.35,1,1,1,41815.22,1
4349,686,Spain,Male,45,3,74274.87,3,1,0,64907.48,1
922,555,France,Male,51,5,0.0,3,1,0,189122.89,1
5750,747,Germany,Male,37,9,135776.36,3,1,0,85470.45,1
6267,705,Germany,Male,48,9,114169.16,1,0,0,173273.2,1
5972,548,Germany,Male,49,9,108437.89,1,0,0,127022.87,1
5105,671,Germany,Male,51,3,96891.46,1,1,0,176403.33,1
8853,681,France,Male,43,3,66338.68,1,1,1,18772.5,1
47,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1
8484,802,France,Female,60,3,92887.06,1,1,0,39473.63,1
493,531,France,Female,47,6,0.0,1,0,0,194998.34,1
3683,576,France,Female,52,9,170228.59,2,0,0,148477.57,1
4196,625,Spain,Female,57,7,0.0,1,0,0,84106.17,1
5085,547,Germany,Male,49,8,121537.71,2,1,0,46521.45,1
8904,683,Spain,Male,40,4,95053.1,1,1,1,116816.54,1
7317,727,Germany,Male,59,5,152581.06,1,1,0,71830.1,1
9635,547,France,Female,49,2,0.0,1,0,0,65466.93,1
4026,762,Germany,Male,56,10,100260.88,3,1,1,77142.42,1
2769,580,Germany,Female,38,1,128218.47,1,1,0,125953.83,1
7017,646,Spain,Male,25,5,182876.88,2,1,1,42537.59,1
7425,552,Germany,Male,33,3,144962.74,1,1,0,58844.84,1
9426,499,Spain,Female,53,1,75225.53,2,0,0,144849.1,1
6114,627,France,Female,44,5,0.0,2,1,0,82969.61,1
6852,600,France,Female,37,4,0.0,3,1,0,7312.25,1
5187,683,France,Female,30,2,0.0,2,0,1,100496.84,1
5269,680,Germany,Male,34,6,146422.22,1,1,0,67142.97,1
4469,612,Spain,Male,33,5,69478.57,1,1,0,8973.67,1
2515,564,France,Male,40,4,0.0,1,1,0,85455.62,1
4512,666,France,Male,51,2,148222.65,1,0,0,156953.54,1
851,667,Germany,Female,48,1,97133.92,2,0,0,113316.77,1
5866,735,France,Female,53,8,123845.36,2,0,1,170454.93,1
2124,704,France,Male,32,7,127785.17,4,0,0,184464.7,1
5369,575,Spain,Male,52,8,123925.23,1,0,0,111342.66,1
1124,606,Spain,Male,35,7,0.0,1,1,0,106837.06,1
4311,727,Spain,Female,52,1,154733.97,1,1,0,80259.67,1
1376,457,France,Male,41,8,73700.12,3,1,1,185750.02,1
9078,647,Germany,Male,52,7,130013.12,1,1,1,190806.36,1
7877,494,Spain,Female,41,2,69974.66,2,1,0,188426.13,1
5955,748,France,Female,39,9,132865.56,1,1,1,59636.43,1
8518,599,France,Male,50,3,121159.65,1,0,0,4033.39,1
3473,682,France,Female,42,0,0.0,1,0,1,91981.85,1
6799,760,France,Male,38,6,162888.73,1,1,0,91098.76,1
1182,673,France,Female,43,5,168069.73,1,1,1,146992.24,1
279,714,France,Male,46,1,0.0,1,1,0,152167.79,1
3032,495,Spain,Female,45,3,89158.94,3,1,0,135169.76,1
2120,618,Germany,Female,54,4,118449.21,1,1,1,133573.29,1
5931,656,Germany,Female,46,7,141535.52,1,1,0,50595.15,1
2430,742,Germany,Female,41,4,92805.72,1,0,1,73743.95,1
6403,850,Germany,Male,55,0,98710.89,1,1,1,83617.17,1
1245,626,France,Female,44,10,81553.93,1,1,0,20063.63,1
9615,692,Spain,Female,47,3,0.0,2,1,0,150802.41,1
3719,850,France,Female,62,1,124678.35,1,1,0,70916.0,1
1985,719,Spain,Female,47,9,116393.59,1,1,0,63051.32,1
2868,545,Spain,Male,36,8,73211.12,2,1,0,89587.34,1
1276,635,Germany,Male,37,5,113488.68,1,1,0,95611.74,1
9852,501,Spain,Male,43,6,104533.24,1,0,0,81123.59,1
3035,817,Germany,Male,45,9,101207.75,1,0,0,88211.12,1
3145,482,Germany,Female,48,2,69329.47,1,0,0,102640.52,1
1388,630,France,Female,40,0,118633.08,1,0,1,60032.46,1
4751,661,Germany,Female,64,8,128751.65,2,1,0,189398.18,1
9084,686,Spain,Female,47,6,0.0,1,1,0,32080.69,1
4543,791,Germany,Female,42,10,113657.41,2,0,1,139946.68,1
7506,674,Germany,Female,44,4,131593.85,1,0,1,171345.02,1
4280,766,Germany,Female,62,7,142724.48,1,0,1,5893.23,1
6205,497,France,Female,29,4,85646.81,1,0,0,63233.02,1
1923,717,France,Male,36,2,148061.89,1,1,0,179128.69,1
2351,651,France,Male,35,7,74623.5,3,1,0,129451.29,1
8184,659,France,Female,50,3,0.0,1,1,0,183399.12,1
4447,666,Germany,Female,50,7,109062.28,1,1,1,140136.1,1
8334,705,France,Female,37,10,0.0,2,1,1,13935.53,1
3457,657,Spain,Male,36,8,188241.05,2,0,0,183058.51,1
7025,569,Spain,Female,51,3,0.0,3,1,0,75084.96,1
2806,592,Spain,Male,38,0,0.0,1,1,0,65986.48,1
9126,753,Spain,Male,51,4,79811.72,2,0,1,68260.27,1
2087,716,France,Female,52,7,65971.61,2,1,0,14608.0,1
5296,619,Spain,Female,44,6,52831.13,1,1,1,112649.22,1
6766,638,Germany,Female,33,5,129335.65,1,1,1,56585.2,1
8242,478,France,Female,50,2,0.0,1,0,1,93332.64,1
4001,545,Germany,Male,53,5,114421.55,1,1,0,180598.28,1
361,643,Germany,Female,45,2,150842.93,1,0,1,2319.96,1
9895,684,Germany,Female,56,3,127585.98,3,1,1,80593.49,1
5712,660,Germany,Male,35,9,113948.58,1,1,0,188891.96,1
8884,686,Germany,Female,38,2,93569.86,3,0,0,10137.34,1
3180,678,France,Female,60,10,117738.81,1,1,0,147489.76,1
6378,562,France,Male,37,2,0.0,1,0,1,52525.15,1
8807,586,France,Female,60,3,47020.65,2,0,1,63241.21,1
4082,778,Germany,Female,29,6,150358.97,1,1,0,62454.01,1
1827,425,Spain,Female,22,7,169649.73,2,0,1,136365.0,1
7942,542,France,Female,42,1,0.0,1,1,1,178256.58,1
2312,545,France,Female,55,5,0.0,1,0,0,10034.77,1
7228,539,France,Female,47,2,127286.04,2,1,1,166929.43,1
8397,630,Germany,Male,29,6,131354.39,1,0,1,9324.31,1
8438,707,Germany,Female,48,7,105086.74,1,1,1,180344.69,1
8401,535,Spain,Male,58,1,0.0,2,1,1,11779.98,1
8550,687,Germany,Female,47,1,91219.29,1,0,0,158845.49,1
6726,628,Spain,Male,50,8,0.0,1,0,0,144366.83,1
7705,777,France,Female,29,9,131240.61,1,1,1,163746.09,1
6289,633,Spain,Male,63,4,114552.6,1,1,0,73856.28,1
9748,627,Germany,Male,24,5,102773.2,2,1,0,56793.02,1
1520,723,Germany,Male,52,5,131694.97,1,0,1,92873.5,1
4908,540,France,Male,48,2,109349.29,1,1,0,88703.04,1
916,475,France,Male,39,6,0.0,1,1,1,56999.9,1
8830,562,Germany,Female,39,6,130565.02,1,1,0,9854.72,1
3146,548,France,Female,28,8,116755.5,2,1,1,158585.17,1
3339,599,Spain,Female,28,4,126833.79,2,1,0,60843.09,1
3415,578,Spain,Male,40,6,63609.92,1,0,0,74965.61,1
2670,598,France,Female,64,9,0.0,1,0,1,13181.37,1
4980,628,Germany,Male,38,10,113525.84,1,1,0,46044.48,1
8200,767,Spain,Male,47,5,0.0,1,1,0,121964.46,1
7834,703,France,Male,56,9,0.0,1,0,0,85547.33,1
2917,698,France,Male,57,6,136325.48,2,1,1,72549.27,1
1174,705,Spain,Female,40,5,203715.15,1,1,0,179978.68,1
770,742,Germany,Female,36,2,129748.54,2,0,0,47271.61,1
2962,550,France,Male,38,9,140278.99,3,1,1,171457.06,1
9321,563,Spain,Male,61,1,82182.1,1,1,0,106826.92,1
8768,761,Germany,Male,62,5,98854.34,1,0,0,86920.97,1
9917,635,Germany,Male,53,8,117005.55,1,0,1,123646.57,1
7155,515,Germany,Male,45,7,120961.5,3,1,1,39288.11,1
9719,516,Germany,Female,47,9,128298.74,1,0,0,149614.17,1
5727,535,Germany,Male,38,8,127475.24,1,0,0,60775.76,1
5700,447,France,Male,41,3,0.0,4,1,1,197490.39,1
6951,658,France,Male,42,8,102870.93,1,0,1,103764.55,1
4266,536,France,Female,35,8,0.0,1,1,0,171840.24,1
2989,703,Spain,Female,45,1,0.0,1,1,0,182784.11,1
8116,640,Germany,Female,43,9,94752.49,1,1,0,184006.36,1
6061,544,Germany,Male,47,5,105245.21,1,0,0,99922.08,1
1569,651,Germany,Female,42,1,116646.76,1,1,0,44731.8,1
3763,653,Germany,Female,37,3,125734.2,2,1,0,134625.09,1
4005,589,France,Female,59,2,0.0,2,1,1,126160.24,1
6226,762,Germany,Male,46,6,123571.77,3,0,1,57014.17,1
6702,661,Germany,Male,37,7,109908.06,2,1,0,115037.67,1
8376,601,France,Male,39,3,72647.64,1,1,0,41777.9,1
6506,585,Spain,Female,56,1,128472.8,1,1,0,186476.91,1
867,636,France,Female,48,1,170833.46,1,1,0,110510.28,1
9750,708,France,Female,51,8,70754.18,1,1,1,92920.04,1
1912,687,Germany,Female,29,4,78939.15,1,1,0,122134.56,1
4879,783,Spain,Female,44,3,81811.71,1,1,0,164213.53,1
1742,584,Germany,Female,54,1,77354.37,1,0,0,138192.98,1
3263,447,France,Male,43,2,0.0,2,1,0,33879.26,1
1928,484,Germany,Male,54,3,134388.11,1,0,0,49954.79,1
7926,567,Spain,Female,54,5,92316.31,2,1,0,158590.66,1
9558,623,Spain,Male,46,4,0.0,1,1,0,5549.11,1
5593,617,Spain,Male,50,7,0.0,1,1,0,184839.7,1
7678,645,France,Male,31,7,161171.7,2,1,0,12599.94,1
3746,688,Germany,Male,35,5,111578.18,1,0,0,166165.93,1
1219,693,Germany,Male,44,5,124601.58,2,1,1,46998.13,1
921,609,Spain,Male,61,1,0.0,1,1,0,22447.85,1
9533,651,Germany,Female,45,6,86714.06,1,1,0,85869.89,1
3902,591,Spain,Female,40,1,86376.29,1,0,1,136767.16,1
3786,710,Germany,Female,41,9,149155.53,2,1,0,42131.26,1
5952,590,Spain,Male,29,10,0.0,1,1,1,51907.72,1
2462,672,France,Female,53,9,169406.33,4,1,1,147311.47,1
127,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1
8635,651,Germany,Male,29,3,121890.06,1,1,0,54530.51,1
1877,770,Spain,Male,55,9,63127.41,2,1,0,185211.28,1
5307,534,France,Female,49,7,0.0,1,1,0,13566.48,1
6279,757,Spain,Female,55,9,117294.12,4,1,0,94187.47,1
7397,572,Germany,Male,47,4,99353.42,1,1,0,196549.85,1
6857,546,Germany,Female,52,1,106074.89,1,1,1,23548.45,1
2847,529,Spain,Male,38,7,99842.5,2,1,0,90256.06,1
8378,614,Germany,Female,37,6,96340.81,2,1,1,139377.24,1
4768,599,Spain,Female,31,3,0.0,1,1,1,130086.47,1
9744,586,Germany,Male,46,8,106968.96,1,1,1,79366.98,1
4608,850,Germany,Male,42,8,119839.69,1,0,1,51016.02,1
8603,551,France,Female,59,2,166968.28,1,1,0,159483.76,1
2139,643,France,Female,51,2,105229.53,1,1,0,34967.75,1
3839,629,Germany,Male,40,2,121647.54,2,1,1,64849.74,1
5004,502,Germany,Female,57,3,101465.31,1,1,0,43568.31,1
5599,579,Germany,Female,50,5,117721.02,1,0,1,192146.63,1
8265,618,Germany,Female,40,0,140306.38,1,1,0,160618.61,1
7724,842,France,Male,44,3,141252.18,4,0,1,128521.16,1
5182,670,France,Female,31,2,57530.06,1,1,1,181893.31,1
6172,568,Germany,Male,43,5,87612.64,4,1,1,107155.4,1
5833,656,Germany,Female,49,9,97092.87,1,1,0,74771.22,1
8636,601,France,Male,46,2,99786.07,1,1,1,32683.88,1
8030,592,Spain,Male,38,3,0.0,1,1,1,12905.89,1
8076,732,France,Female,36,9,0.0,1,0,0,3749.0,1
1567,713,France,Male,53,6,115029.4,1,0,0,191521.32,1
721,459,Spain,Female,42,6,129634.25,2,1,1,177683.02,1
4452,812,Spain,Female,49,8,66079.45,2,0,0,91556.57,1
2007,705,Germany,Female,43,10,146547.78,1,0,1,10072.55,1
6231,631,Germany,Male,48,1,106396.48,1,1,1,150661.42,1
6375,524,Spain,Female,64,5,0.0,1,1,0,136079.64,1
4899,803,France,Female,32,9,192122.84,1,1,1,54277.45,1
3069,666,France,Male,43,7,137780.74,2,1,1,119100.05,1
1964,800,France,Female,40,5,97764.41,1,1,0,98640.15,1
2856,432,Germany,Female,45,3,110219.14,1,1,0,43046.7,1
645,673,France,Female,34,8,42157.08,1,1,0,20598.59,1
2787,805,France,Male,46,6,118022.06,3,1,0,162643.15,1
2535,651,Germany,Male,40,1,134760.21,2,0,0,174434.06,1
4220,589,Spain,Female,45,1,0.0,1,0,0,125939.22,1
4548,635,France,Female,58,1,0.0,1,1,1,58907.08,1
3790,596,Spain,Female,54,0,78126.28,1,1,1,153482.91,1
7773,636,Germany,Male,67,7,136709.35,1,0,1,66753.1,1
8887,435,Germany,Male,37,8,114346.3,1,0,1,980.93,1
8075,850,France,Male,58,8,156652.13,1,0,0,25899.21,1
4901,673,France,Male,59,0,178058.06,2,0,1,21063.71,1
813,421,Germany,Male,28,8,122384.22,3,1,1,89017.38,1
2474,739,France,Female,37,8,0.0,2,1,0,191557.1,1
6467,540,France,Female,31,7,0.0,1,0,1,183051.6,1
2647,461,France,Male,51,9,119889.84,1,0,0,56767.67,1
7383,737,Spain,Female,39,7,130051.66,2,0,0,55356.39,1
9125,749,Spain,Male,34,2,0.0,1,0,0,174189.04,1
6621,646,France,Male,50,0,104129.24,2,1,0,181794.86,1
4033,632,Germany,Male,48,6,126066.26,1,1,0,64345.61,1
6669,517,France,Male,56,9,142147.32,1,0,0,39488.04,1
271,733,Germany,Male,34,3,100337.96,3,1,0,48559.19,1
7266,762,Spain,Female,60,10,168920.75,1,1,0,31445.03,1
5923,751,France,Female,48,9,0.0,1,1,0,137508.42,1
2748,401,Germany,Male,48,8,128140.17,1,1,0,175753.55,1
3206,515,Germany,Male,60,9,113715.36,1,1,0,18424.24,1
1670,559,Spain,Male,24,3,114739.92,1,1,0,85891.02,1
7098,621,Germany,Male,51,4,109978.83,1,0,0,177740.58,1
4719,566,Germany,Female,35,1,123042.0,1,1,0,66245.44,1
7091,600,Germany,Male,53,7,106261.63,1,1,0,93629.66,1
7604,691,France,Female,60,6,101070.69,1,1,0,177355.8,1
687,769,Germany,Female,45,5,126674.81,1,1,0,124118.71,1
2757,444,France,Female,45,4,0.0,2,1,0,161653.5,1
3840,739,Germany,Male,58,1,110597.76,1,0,1,160122.66,1
856,567,Germany,Female,49,5,134956.02,1,1,0,93953.84,1
3452,757,France,Male,57,3,89079.41,1,1,1,53179.21,1
1438,504,Germany,Male,56,9,104217.3,1,0,0,55857.48,1
5686,644,Spain,Female,46,6,12459.19,1,0,0,156787.34,1
4822,745,France,Female,32,2,0.0,4,0,1,179705.13,1
138,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1
6407,806,Germany,Male,30,8,168078.83,1,1,0,85028.36,1
2945,835,Germany,Male,20,4,124365.42,1,0,0,180197.74,1
2381,614,Spain,Female,41,7,179915.85,1,0,0,14666.35,1
1404,662,Spain,Female,41,4,90350.77,1,1,0,75884.65,1
7869,651,Spain,Female,45,8,95922.9,1,1,0,84782.42,1
4741,651,France,Male,45,2,165901.59,2,1,0,23054.51,1
9073,702,Germany,Female,60,5,138597.54,2,1,1,41536.59,1
4151,627,France,Male,44,6,153548.12,1,0,0,35300.08,1
6855,622,France,Male,41,2,127087.06,1,1,0,102402.91,1
9718,710,Spain,Male,62,3,131078.42,2,1,0,119348.76,1
8566,679,France,Female,39,4,0.0,1,0,0,172939.3,1
2738,650,Spain,Male,41,3,128808.65,3,0,0,113677.53,1
7381,620,Germany,Female,25,8,141825.88,1,1,1,73857.94,1
539,745,Germany,Female,28,1,111071.36,1,1,0,73275.96,1
8878,645,Germany,Male,47,9,152076.93,1,1,0,121840.2,1
6099,532,Germany,Male,52,9,137755.76,1,1,0,163191.99,1
3941,654,France,Male,32,9,121455.65,1,1,0,190068.53,1
3519,661,Spain,Female,41,5,28082.95,1,1,0,69586.27,1
7338,708,Germany,Female,54,8,145151.4,1,0,1,125311.17,1
2316,649,Germany,Female,50,5,155393.32,1,1,1,87351.42,1
8565,632,France,Female,40,9,139625.34,1,1,0,93702.96,1
3245,514,Germany,Female,45,3,109032.23,1,0,1,155407.21,1
7843,586,Germany,Female,36,5,103700.69,1,1,0,194072.56,1
1057,581,France,Female,47,1,122949.14,1,0,0,180251.68,1
9414,544,Spain,Female,53,9,0.0,1,1,0,125692.07,1
3082,483,France,Female,44,5,136836.49,1,1,0,192359.9,1
1212,610,Spain,Male,42,6,0.0,2,1,0,158302.59,1
8641,604,Germany,Female,47,4,118907.6,1,0,1,47777.15,1
2721,564,Germany,Female,44,3,111760.4,3,1,1,104722.47,1
5031,769,Germany,Female,34,7,137239.17,1,1,1,71379.92,1
2272,491,Germany,Female,57,4,112044.72,1,1,1,41229.73,1
3656,750,France,Female,37,6,0.0,1,1,1,117948.0,1
3817,682,Germany,Female,29,6,101012.77,1,0,0,32589.89,1
7353,596,France,Male,21,4,210433.08,2,0,1,197297.77,1
8880,560,France,Male,49,4,0.0,1,1,1,100075.1,1
5019,823,Germany,Female,53,4,124954.94,1,0,1,131259.6,1
3137,664,France,Male,48,10,0.0,1,1,0,140173.17,1
3578,704,Germany,Female,39,1,124640.51,1,1,0,116511.12,1
987,569,Spain,Male,34,0,151839.26,1,1,0,102299.81,1
7695,723,Germany,Female,47,10,90450.0,2,0,0,103379.31,1
7698,592,France,Male,60,9,0.0,4,1,1,13614.01,1
3476,746,Spain,Male,30,1,112666.67,1,0,0,11710.4,1
1917,428,Germany,Female,40,3,129248.11,2,1,0,72876.43,1
8671,542,Germany,Female,35,9,127543.11,2,1,0,468.94,1
7715,517,France,Male,62,1,43772.66,3,1,0,187756.24,1
1318,598,France,Female,43,5,0.0,3,1,1,100722.72,1
1111,833,Germany,Male,59,1,130854.59,1,1,1,30722.52,1
8170,599,Germany,Male,61,1,124737.96,1,0,1,90389.61,1
7927,637,Germany,Male,30,1,122185.53,1,1,0,102566.46,1
5701,625,Germany,Female,49,4,128504.76,1,1,0,126812.63,1
9478,782,Germany,Female,53,1,81571.05,1,1,0,182960.46,1
2546,660,France,Male,50,1,0.0,3,1,1,191849.15,1
7448,691,Spain,Male,36,7,129934.64,1,0,0,75664.56,1
5855,498,France,Male,46,1,91857.66,1,1,0,101954.78,1
8952,565,Germany,Female,47,10,139756.12,1,1,0,165849.49,1
5306,605,France,Female,51,9,104760.82,1,1,1,165574.54,1
9991,597,France,Female,53,4,88381.21,1,1,0,69384.71,1
3006,747,France,Female,45,1,114959.12,1,1,0,189362.39,1
9055,630,France,Male,55,2,0.0,1,1,1,106202.07,1
3273,560,Spain,Female,43,4,95140.44,2,1,0,123181.44,1
3532,778,Germany,Female,37,0,105617.73,2,1,1,133699.82,1
6864,593,Germany,Female,48,3,133903.12,2,1,1,85902.39,1
2988,689,France,Male,47,1,93871.95,3,1,0,156878.42,1
8960,602,Germany,Female,26,8,113674.2,1,1,0,197861.16,1
860,667,France,Male,43,8,190227.46,1,1,0,97508.04,1
7876,623,France,Male,45,0,0.0,1,1,0,196533.72,1
3376,644,Germany,Female,40,4,77270.08,2,1,1,115800.1,1
9725,625,France,Female,36,3,0.0,2,1,0,41295.1,1
3443,597,Spain,Female,46,4,0.0,2,1,0,58667.16,1
9440,593,Spain,Male,27,10,0.0,3,0,0,94620.0,1
4992,794,France,Female,62,9,123681.32,3,1,0,173586.63,1
9062,720,Spain,Male,64,3,45752.78,2,1,0,79623.28,1
9956,520,France,Female,46,10,85216.61,1,1,0,117369.52,1
2469,727,Germany,Male,36,6,140418.81,1,1,1,113033.73,1
6022,694,Spain,Female,35,7,0.0,1,1,0,133570.43,1
4287,714,Germany,Male,53,1,99141.86,1,1,1,72496.05,1
761,693,France,Female,35,5,124151.09,1,1,0,88705.14,1
9393,670,Germany,Male,43,9,111677.88,1,1,0,178827.3,1
7536,697,France,Female,42,1,0.0,1,1,0,1262.83,1
3480,588,Germany,Female,30,0,110148.49,1,1,0,5790.9,1
843,773,Spain,Female,41,5,0.0,1,1,0,28266.9,1
4555,688,Spain,Female,35,6,0.0,1,1,0,25488.43,1
2024,545,Spain,Female,39,6,0.0,1,0,0,38410.74,1
3819,553,Germany,Male,46,3,82291.1,1,1,0,112549.99,1
3316,666,France,Male,53,5,64646.7,1,1,0,128019.48,1
3741,738,Germany,Female,29,9,139106.19,1,1,0,141872.05,1
861,548,France,Female,32,2,172448.77,1,1,0,188083.77,1
8673,765,France,Female,56,1,0.0,1,1,0,13228.93,1
202,516,Spain,Male,50,5,0.0,1,0,1,146145.93,1
467,816,Germany,Female,38,5,130878.75,3,1,0,71905.77,1
7483,616,France,Male,44,5,102016.38,1,0,1,178235.37,1
5353,592,Spain,Male,35,6,80285.16,1,1,0,72678.75,1
9924,632,Germany,Female,50,5,107959.39,1,1,1,6985.34,1
7003,646,Germany,Female,44,2,113063.83,1,0,0,53072.49,1
5057,753,Germany,Female,46,3,111512.75,3,1,0,159576.75,1
2658,670,Germany,Male,40,2,164948.98,3,0,0,177028.0,1
8359,657,Spain,Female,22,6,0.0,3,0,1,168412.07,1
2794,646,France,Male,52,8,59669.43,1,0,0,172495.81,1
1845,737,France,Male,36,9,0.0,1,0,1,188670.9,1
5915,679,France,Male,47,10,198546.1,2,1,0,191198.92,1
4520,652,Germany,Male,46,10,121063.8,3,1,0,151481.86,1
3085,734,France,Female,54,3,0.0,1,1,0,130805.54,1
5825,607,Spain,Female,62,8,108004.64,1,1,1,23386.77,1
2151,753,France,Male,57,7,0.0,1,1,0,159475.08,1
5452,558,France,Female,45,1,153697.53,2,0,0,89891.4,1
3010,666,France,Male,47,2,0.0,1,1,0,35046.97,1
4981,667,Spain,Female,23,6,136100.69,2,0,0,169669.33,1
3497,456,France,Female,63,1,165350.61,2,0,0,140758.07,1
2619,850,Spain,Male,49,8,0.0,1,0,0,25867.67,1
6150,632,Germany,Male,41,8,127205.32,4,1,0,93874.87,1
8734,706,Germany,Female,47,10,144090.42,1,1,0,140938.95,1
1303,593,Germany,Female,32,9,134096.53,2,1,0,53931.05,1
333,584,Germany,Female,30,8,112013.81,1,1,0,177772.03,1
139,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1
4136,651,France,Male,44,2,0.0,3,1,0,102530.35,1
4699,844,Spain,Male,56,5,99529.7,1,0,1,157230.06,1
9092,781,France,Male,38,2,117810.79,1,0,1,65632.33,1
8371,813,Germany,Female,29,5,106059.4,1,0,0,187976.88,1
9738,760,France,Male,37,7,0.0,1,0,0,32863.24,1
6014,535,Spain,Male,48,9,109472.47,1,1,0,157358.43,1
4913,562,France,Female,51,1,124662.54,1,1,1,65390.46,1
339,716,Germany,Female,39,10,115301.31,1,1,0,43527.4,1
1583,709,France,Female,43,8,0.0,2,0,0,168035.62,1
1369,652,Germany,Male,50,8,125437.64,1,1,1,17160.94,1
1491,504,Germany,Female,43,7,102365.49,1,1,0,194690.77,1
5989,668,France,Female,53,10,110240.04,1,0,0,183980.56,1
6734,619,France,Female,55,0,0.0,3,0,0,60810.64,1
